*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:19:54
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000152        0     000056517.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000153        0     000056517.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000154        0     000056517.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000155        0     000056518.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000156        0     000056518.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000157        0     000056518.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000158        0     000056518.8       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000159        0     000056519.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000160        0     000056586.8       接收     0000060A      标准帧      数据帧        04     03 00 E9 10      
000161        0     000056587.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000162        0     000056587.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000163        0     000056587.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000164        0     000056587.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000165        0     000056588.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000166        0     000056588.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000167        0     000056588.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000168        0     000056588.8       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000169        0     000056589.1       接收     0000060D      标准帧      数据帧        08     03 7C EF A1 70 80 0D 0C      
000170        0     000056656.8       接收     0000060A      标准帧      数据帧        04     03 00 EB 10      
000171        0     000056657.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000172        0     000056657.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000173        0     000056657.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000174        0     000056657.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000175        0     000056658.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000176        0     000056658.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000177        0     000056658.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000178        0     000056658.8       接收     0000060D      标准帧      数据帧        08     02 7C CF A1 70 80 0A 0C      
000179        0     000056659.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000180        0     000056731.8       接收     0000060A      标准帧      数据帧        04     03 00 ED 10      
000181        0     000056732.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000182        0     000056732.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000183        0     000056732.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000184        0     000056732.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000185        0     000056733.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000186        0     000056733.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000187        0     000056733.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000188        0     000056733.8       接收     0000060D      标准帧      数据帧        08     02 7C EF A1 70 80 0A 0C      
000189        0     000056734.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000190        0     000056801.8       接收     0000060A      标准帧      数据帧        04     03 00 EF 10      
000191        0     000056802.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000192        0     000056802.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000193        0     000056802.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000194        0     000056802.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000195        0     000056803.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000196        0     000056803.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000197        0     000056803.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000198        0     000056803.8       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0A 0C      
000199        0     000056804.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000200        0     000056871.8       接收     0000060A      标准帧      数据帧        04     03 00 F1 10      
000201        0     000056872.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000202        0     000056872.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000203        0     000056872.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000204        0     000056872.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000205        0     000056873.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000206        0     000056873.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000207        0     000056873.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000208        0     000056873.8       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000209        0     000056874.1       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000210        0     000056941.8       接收     0000060A      标准帧      数据帧        04     03 00 F3 10      
000211        0     000056942.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000212        0     000056942.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000213        0     000056942.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000214        0     000056942.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000215        0     000056943.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000216        0     000056943.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000217        0     000056943.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000218        0     000056943.8       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
000219        0     000056944.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000220        0     000057016.8       接收     0000060A      标准帧      数据帧        04     03 00 F5 10      
000221        0     000057017.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000222        0     000057017.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000223        0     000057017.5       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000224        0     000057017.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000225        0     000057018.0       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000226        0     000057018.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000227        0     000057018.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000228        0     000057018.8       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0A 0C      
